Sample in Buffer,Sample in Window,TRIGGER,xgmii_rxd[63:0],xgmii_rxc[7:0]
498,498,0,0707070707070707,ff
499,499,0,0707070707070707,ff
500,500,0,0707070707070707,ff
501,501,0,0707070707070707,ff
502,502,0,0707070707070707,ff
503,503,0,0707070707070707,ff
504,504,0,0707070707070707,ff
505,505,0,0707070707070707,ff
506,506,0,0707070707070707,ff
507,507,0,0707070707070707,ff
508,508,0,0707070707070707,ff
509,509,0,0707070707070707,ff
510,510,0,0707070707070707,ff
511,511,0,0707070707070707,ff
512,512,1,0707070707070707,ff
513,513,0,0707070707070707,ff
514,514,0,0707070707070707,ff
515,515,0,0707070707070707,ff
516,516,0,0707070707070707,ff
517,517,0,0707070707070707,ff
518,518,0,0707070707070707,ff
519,519,0,0707070707070707,ff
520,520,0,0707070707070707,ff
521,521,0,0707070707070707,ff
522,522,0,0707070707070707,ff
523,523,0,0707070707070707,ff
524,524,0,0707070707070707,ff
525,525,0,0707070707070707,ff
526,526,0,0707070707070707,ff
527,527,0,0707070707070707,ff
528,528,0,0707070707070707,ff
529,529,0,0707070707070707,ff
530,530,0,0707070707070707,ff
531,531,0,0707070707070707,ff
532,532,0,0707070707070707,ff
533,533,0,0707070707070707,ff
534,534,0,0707070707070707,ff
535,535,0,0707070707070707,ff
536,536,0,0707070707070707,ff
537,537,0,0707070707070707,ff
538,538,0,0707070707070707,ff
539,539,0,0707070707070707,ff
540,540,0,0707070707070707,ff
541,541,0,0707070707070707,ff
542,542,0,0707070707070707,ff
543,543,0,0707070707070707,ff
544,544,0,0707070707070707,ff
545,545,0,0707070707070707,ff
546,546,0,0707070707070707,ff
547,547,0,0707070707070707,ff
548,548,0,0707070707070707,ff
549,549,0,0707070707070707,ff
550,550,0,0707070707070707,ff
551,551,0,0707070707070707,ff
552,552,0,0707070707070707,ff
553,553,0,0707070707070707,ff
554,554,0,0707070707070707,ff
555,555,0,0707070707070707,ff
556,556,0,0707070707070707,ff
557,557,0,0707070707070707,ff
558,558,0,0707070707070707,ff
559,559,0,0707070707070707,ff
560,560,0,0707070707070707,ff
561,561,0,0707070707070707,ff
562,562,0,0707070707070707,ff
563,563,0,0707070707070707,ff
564,564,0,0707070707070707,ff
565,565,0,0707070707070707,ff
566,566,0,0707070707070707,ff
567,567,0,0707070707070707,ff
568,568,0,0707070707070707,ff
569,569,0,0707070707070707,ff
570,570,0,0707070707070707,ff
571,571,0,0707070707070707,ff
572,572,0,0707070707070707,ff
573,573,0,0707070707070707,ff
574,574,0,0707070707070707,ff
575,575,0,0707070707070707,ff
576,576,0,0707070707070707,ff
577,577,0,0707070707070707,ff
578,578,0,0707070707070707,ff
579,579,0,0707070707070707,ff
580,580,0,0707070707070707,ff
581,581,0,0707070707070707,ff
582,582,0,0707070707070707,ff
583,583,0,0707070707070707,ff
584,584,0,0707070707070707,ff
585,585,0,0707070707070707,ff
586,586,0,0707070707070707,ff
587,587,0,0707070707070707,ff
588,588,0,0707070707070707,ff
589,589,0,0707070707070707,ff
590,590,0,0707070707070707,ff
591,591,0,0707070707070707,ff
592,592,0,0707070707070707,ff
593,593,0,0707070707070707,ff
594,594,0,0707070707070707,ff
595,595,0,0707070707070707,ff
596,596,0,0707070707070707,ff
597,597,0,0707070707070707,ff
598,598,0,0707070707070707,ff
599,599,0,0707070707070707,ff
600,600,0,0707070707070707,ff
601,601,0,0707070707070707,ff
602,602,0,0707070707070707,ff
603,603,0,0707070707070707,ff
604,604,0,0707070707070707,ff
605,605,0,0707070707070707,ff
606,606,0,0707070707070707,ff
607,607,0,0707070707070707,ff
608,608,0,0707070707070707,ff
609,609,0,0707070707070707,ff
610,610,0,0707070707070707,ff
611,611,0,0707070707070707,ff
612,612,0,0707070707070707,ff
613,613,0,0707070707070707,ff
614,614,0,0707070707070707,ff
615,615,0,0707070707070707,ff
616,616,0,0707070707070707,ff
617,617,0,0707070707070707,ff
618,618,0,0707070707070707,ff
619,619,0,0707070707070707,ff
620,620,0,0707070707070707,ff
621,621,0,0707070707070707,ff
622,622,0,0707070707070707,ff
623,623,0,0707070707070707,ff
624,624,0,0707070707070707,ff
625,625,0,0707070707070707,ff
626,626,0,0707070707070707,ff
627,627,0,0707070707070707,ff
628,628,0,0707070707070707,ff
629,629,0,0707070707070707,ff
630,630,0,0707070707070707,ff
631,631,0,0707070707070707,ff
632,632,0,0707070707070707,ff
633,633,0,0707070707070707,ff
634,634,0,0707070707070707,ff
635,635,0,0707070707070707,ff
636,636,0,0707070707070707,ff
637,637,0,0707070707070707,ff
638,638,0,0707070707070707,ff
639,639,0,0707070707070707,ff
640,640,0,0707070707070707,ff
641,641,0,0707070707070707,ff
642,642,0,0707070707070707,ff
643,643,0,0707070707070707,ff
644,644,0,0707070707070707,ff
645,645,0,0707070707070707,ff
646,646,0,0707070707070707,ff
647,647,0,0707070707070707,ff
648,648,0,0707070707070707,ff
649,649,0,0707070707070707,ff
650,650,0,0707070707070707,ff
651,651,0,0707070707070707,ff
652,652,0,0707070707070707,ff
653,653,0,0707070707070707,ff
654,654,0,0707070707070707,ff
655,655,0,0707070707070707,ff
656,656,0,0707070707070707,ff
657,657,0,0707070707070707,ff
658,658,0,0707070707070707,ff
659,659,0,0707070707070707,ff
660,660,0,0707070707070707,ff
661,661,0,0707070707070707,ff
662,662,0,0707070707070707,ff
663,663,0,0707070707070707,ff
664,664,0,0707070707070707,ff
665,665,0,0707070707070707,ff
666,666,0,0707070707070707,ff
667,667,0,0707070707070707,ff
668,668,0,0707070707070707,ff
